"","","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos de cette unité d'enseignement","","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","L'unité d'enseignement est variée, motivante et permet de ne pas m'ennuyer","Le projet libre est pertinent et permet de mettre en pratique les éléments vus en cours","Le temps nécessaire pour réaliser le projet libre était correct","Les jalons du projet libre ont été utiles et permettent de travailler peu mais régulièrement","Le fait que les jalons du projet soient notés permettent de récompenser mon travail","Les critères d'évaluation du projet libre sont clairs, bien construits et justes","Je me sens capable de réaliser une application web avec PHP que je pourrais déployer et gérer sur Internet et que d'autres personnes pourraient accéder et utiliser","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","Programmation orientée objet (avancé)","Bases de données et PDO (avancé)","Déploiement","Cookies, préférences, et gestion multilingues (i18n)","Sessions, authentification, et autorisation","Gestion et envoi des e-mails","Je n'ai pas eu de difficultés particulières","Autres remarques et commentaires"
"Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas du tout d'accord ★☆☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le fait d'avoir beaucoup d'autonomie. Aussi, vous étiez très présent et réactif pour répondre à nos questions et nous aider à résoudre nos soucis. De plus les bout de code m'ont énormément aider à construire et comprendre le mini-projet.","Le fait de devoir faire un mini-projet à plusieurs","","X","","X","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","X","","","","","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","","","","X","","","","","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","La manière dont le feedback est donné ","","X","","","X","","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le fait de faire un projet libre en parallèle des cours avec un suivi régulier. Les exercices sont pertinents et simple à comprendre.","En arrivant sur le git les premières fois j'étais un peu confuse qu'il y ait beaucoup de liens (supports de cours + exemple de code + exercices)

","X","X","","","","","","Par apport aux cours de M.Hess, une grande différence est qu'on avait des questionnaires de théories à chaque cours qu'il reprenait en partie à l'examen (1/3 théorie, 2/3 pratique). Je ne peux pas dire si c'est pertinent ou utile d'apprendre de la théorie sur ce qu'on va programmer après mais ça a permis à beaucoup de gens de sauver leur année. 
--
Je trouve que nos cours en général manquent d'infos et de mises en pratiques réelles de github. On ne voit que la base en archidep mais on n'apprends pas à travailler en groupe sur des projets (avec les branches, les conflits qu'il peut y avoir, etc) alors qu'on nous demande de l'utiliser. Et ça finit par créer des ""méthodologie"" de projet dans les groupes très originales

"
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","-De faire un projet concret. 
-La disponibilité du prof pour répondre à nos questions.
-Travailler en groupe (l’entraide)","Rien en particulier :)","X","","","","X","X","","Merci pour tout 
.　 +⠀   ⠀
⠀˚⠀ ⣴⠟⠉⠉⠛⢦⡀⢀⣴⠛⠉⠈⠙⠻⣄
⠀⠀⣼⠃⠀⠀⠀⠀⠀⠙⠋⠀⠀⠀⠀⠀⠀⠹⣦
⠀⠀⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿
⠀⠀⠿⣆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⡆
⠀⠀⠀⢻⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡼⠃
⠀⠀⠀⠀⠀⠻⢦⣄⠀⠀⠀⠀⠀⣠⡴⠛
⠀⠀⠀⠀⠀⠀⠀⠉⠛⠶⣄⠶⠋ ⠀⠀⠀+.  *"
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas du tout d'accord ★☆☆☆","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Votre gentillesse et la structure du cours, avec un support de ouf !","Le stress du mini-projet et desfois les parties théories un peu rapide. J’aurai bien voulu aller + dans le détail sur certains points (cookies, email)","","","X","X","X","","","Merci pour votre implication ! "
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La méthode de réalisation du projet libre","","","","","","","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le support github qui a tout les outils nécessaires.","","X","","","","X","","","Je n’ai pas eu ce prof durant la première année mais je trouve que le support est très bon et m’a permis de me mettre dans le bain. Je trouve aussi que le prof est tres utile pour toutes questions par rapport au cours "
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","","","","X",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","X","X","","X","","",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Le projet de groupe, et les exemples de codes fournis dans les lessons","","","X","","","X","X","",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","","","","","","X","X","X","",""
"Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Le projet-libre.","","X","X","","","","X","","Dû à d'autres projets je n'ai pas pû m'investir autant que je l'aurais voulu dans la fin du cours. Cependant je n'ai aucun doute que la finalisation de projet libre ainsi que d'avoir accès à tout le code que nous avons développer pour celui-ci me permettraient à l'avenir de développer une autre application de même ampleur de moi-même."
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","","","","","","","","","X",""
"Tout à fait d'accord ★★★★","Pas d'accord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","","Je trouvais que certaines parties de théorie étaient trop rapides par rapport au fonctionnement complexe de certaines de la thématique traitée. Je propose de plus détailler les thèmes complexes, quitte à prendre plus de temps.","","","","","","","X",""
"Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Tout à fait d'accord ★★★★","Tout à fait d'accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Pas d'accord ★★☆☆","Tout à fait d'accord ★★★★","Pas du tout d'accord ★☆☆☆","Tout à fait d'accord ★★★★","Tout, merci beaucoup de rendre aussi agréable une telle matière, c'est unique dans notre formation.","J'ai pas réussi à suivre mais c'est à cause qu'il y a trop de trucs à côté... galère","X","X","","","X","X","X","Merci ! je vais tenter de rattraper le retard du projet libre d'ici au 21, actuellement c'est une cata haha"
